ORF	       Alkali 0m	      Alkali 10m	      Alkali 20m	      Alkali 40m	      Alkali 60m	      Alkali 80m	     Alkali 100m
YKL183W	          213.75	            NULL	           92.10	           73.90	          120.20	          161.00	          154.40
YKL184W	          276.05	          449.60	          351.30	          236.30	          237.50	          250.80	          352.80
YKL185W	          273.90	          525.30	            NULL	          202.80	          172.30	          383.00	          342.70
YKL186C	          258.20	            NULL	          372.30	          110.40	          433.20	          190.50	          223.60
YKL187C	           12.20	            NULL	            NULL	            NULL	           45.20	            NULL	            NULL
YKL188C	            NULL	            NULL	            NULL	            NULL	           77.80	            NULL	          225.50
YKL189W	          159.30	          648.20	            NULL	          178.90	          227.80	          279.00	          403.60
YKL190W	          795.90	          931.90	         1066.00	          799.60	         1277.50	         1192.80	         1069.90
YKL191W	         1335.80	          380.30	          673.60	          674.50	          824.40	          950.20	          722.00
YKL192C	         2434.10	         4604.00	         3819.40	         1580.50	         3670.40	         2889.30	         2414.50
YKL193C	          124.05	          355.10	          197.20	          232.60	          247.30	          220.00	          233.80
YKL194C	           24.60	           71.40	           50.10	           32.90	            NULL	           36.50	            NULL
YKL195W	          403.15	          922.40	          281.30	          268.40	          244.10	          352.20	          279.90
YKL196C	         1227.75	         1549.70	          785.70	          560.50	          664.60	          907.90	          803.20
YKL197C	           58.85	           71.40	            NULL	            NULL	           45.20	           41.60	            NULL
YKL198C	           22.10	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YKL199C	          182.10	          493.80	            NULL	          141.70	          149.50	          146.80	          198.70
YKL201C	           99.85	           71.40	           78.10	           63.50	            NULL	          113.50	           75.10
YKL202W	            2.30	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YKL203C	          310.55	          386.60	          281.30	          146.90	          341.90	          349.60	          351.00
YKL204W	          218.85	            NULL	          302.30	          161.10	            NULL	          200.70	          227.30
YKL205W	          233.80	          140.80	            NULL	          102.20	           61.50	          148.10	          132.30
YKL206C	          143.50	           65.10	          148.10	            NULL	           55.00	          185.30	          128.60
YKL207W	          491.45	          478.00	          358.30	          283.30	          413.60	          474.10	          485.70
